DNI,firstname,lastname,infected
211e2974-8f16-4c0c-bd2c-2bd0c058d404,Elyssa,Kussell,false
f041cc23-cf30-4b2c-86c9-7b2e295eb27e,Lila,Bobbee,false
9b651970-ea8b-4ad0-b081-e67f004eccce,Gabriellia,Braun,false
bfbff8b2-9ca7-459f-b88d-672ca087b179,Stevana,Dominy,false
dec2feb4-089b-40bb-9735-01e9bc7c160d,Kirstin,Etom,false
5cd2ccff-f561-42f9-98e1-59d2a9a2eb40,Corina,Grobe,false
3192c0da-356a-4a75-acf9-a7bafc429e37,Alleen,Artie,false
f7bc5340-2664-4779-aed1-34c35c7314ed,Orsola,Edee,false
b9b643ba-3358-4dde-b4cc-2b064ad7096a,Magdalena,Dichy,false
2b67cb3f-eacc-47c7-b29c-eaae78bdc19f,Molli,Terrence,false
355cb6d7-170c-44e0-941d-35049add1573,Cathyleen,Elvyn,false
c738d7cd-8448-406b-9838-e48f80a7c977,Starla,Schalles,false
7ed4d7bb-8dc5-4e7d-9db7-9c621e2cb7cf,Starla,Argus,false
6a0c6611-d2f5-4e1b-b5b7-1fd133f6a427,Marcelline,LaRue,false
cb533606-a57b-4e2d-a910-0a1e5fc065a4,Sophia,Rebecka,false
e05d07a0-d936-4c05-b2aa-6eba5c723a60,Margarette,Esmaria,false
8ff9b663-d4a7-46fe-b52d-bcd7502f94fe,Annecorinne,Briney,false
8abbb076-27fe-4b18-8355-133c66b5006b,Constance,Prouty,false
b8c9e987-9cc5-4975-bd86-b115c89c96ad,Molli,Prouty,false
443bfdf2-fb6d-4e36-88bc-7c8a00d3f335,Mahalia,Moseley,false
61e75182-7964-4ddb-bf29-7f3bd206c742,Janenna,Germann,false
c16d6b82-1945-4661-88bd-4c835796b040,Jillayne,Gamaliel,false
97578d26-2082-4e3a-a859-02c55ec0898e,Susette,Bronk,false
1e9415fc-8568-4cb9-9165-c521871082b9,Modestia,Alice,false
16dc52d1-124b-48c8-901b-b6678f94edcd,Rori,Amasa,false
b6dde448-52b3-4750-ac8e-6065b35b175a,Patricia,Xerxes,false
0997a640-ff0f-48cf-8618-c804e134c856,Ermengarde,Tacye,false
6a4b25ae-d331-4b09-8ff4-6e63439c4253,Catrina,Raffo,false
4e02c701-2707-44db-b55c-9659d5fdb7df,Fredericka,Fry,false
f0fa7b67-3194-4c1b-b3a9-d7d3ea1611af,Talya,Haymes,false
ce0c27e7-f6ec-4357-ba63-7ccebf62345f,Brandise,Tatianas,false
ada95d72-487b-4ef0-b035-680c60d3ee77,Norine,Mintz,false
a578cf89-7b71-414d-8955-87586fab2040,Philis,Alejoa,false
99f60194-6538-49aa-b048-f0d48625e727,Ottilie,Neils,false
06dcd473-fcf7-430c-961b-bcbe583f2d20,Paule,Verger,false
7ac6ce45-533b-429a-ba03-d06aad0689fd,Atlanta,Pattin,false
e0a7a483-a3ec-40b1-9831-47a7aaf883eb,Lorie,Berard,false
af01b188-a7a4-4060-9771-6080efea2245,Rosanne,Bennie,false
859422b0-d873-48cb-bfb1-9349b2cfcc2c,Etta,Juliet,false
36f2b75e-3e17-44e4-8273-b9c66f91cca8,Lynde,Evvie,false
3a82d7ff-c434-4fbb-b8af-291925c62cba,Therine,Drisko,false
0de694b0-2421-4296-8f72-d8541f4e73c9,Tori,Presber,false
efeed920-e461-4968-9e49-8e0bfa15449f,Elena,Campball,false
3403a064-41ff-4435-b2b6-218f6137b9b5,Henriette,Masao,false
b6a7b881-7464-4ac0-991c-3cd8872797bf,Ninnetta,Janith,false
ce27ad4d-7ed1-45b0-abbb-48917fe29c36,Bobbi,An,false
b69975b4-1056-4c54-af22-f251b3e01609,Maridel,Pond,false
0d8b019e-65f4-4933-bb11-8eb75a9641ef,Lindie,Grimbly,false
d6b2dc1c-e3f1-464e-8a64-4f3bd7d07544,Margarette,Meter,false
8346b149-84a2-4f60-9d45-7b35110ad550,Corina,Halsey,false
eff0aa0f-aebd-4cbd-ad17-552a6fb7b3ff,Tarra,Mathilde,false
24e1d917-3169-4be0-ba7d-135ede5175f8,Audrie,Riva,false
e1b171c3-56e6-4670-aa94-e1d9389f6b83,Josephine,Kamaria,false
c3bce8d4-85cc-4e49-95cf-04621a855174,Ottilie,Destinee,false
327a6ec8-0e12-4a54-b8e0-a3fc5d12891c,Linzy,Schroth,false
91e24d12-5706-4abe-b5c6-3ed169384b9a,Aimil,Denis,false
cc323b47-6b66-4031-85ff-12261a235e70,Marcelline,Toor,false
e7523f85-7a31-4f79-a143-72d53d8b9723,Heddie,Gower,false
3cfaf978-f115-4b99-aae4-cb73f086b3e7,Annabela,Gemini,false
e4105bb0-b27d-4bd6-a8f3-22ffbe7bc8d5,Annaliese,Sawtelle,false
fac689db-c33f-40c7-96a0-0f0925b56b85,Sarette,Cornelia,false
4578e8af-f767-4d1e-889a-4f59a675182d,Meghann,Braun,false
1b07177a-a0bc-41ea-90d1-cce17c860b15,Corina,Silvan,false
64cb8e0e-6407-49cc-838c-a371d06c363f,Fredericka,Armanda,false
658a7dfa-9b6d-4f3a-826e-5743a2fa239c,Wendi,Peti,false
50ab69cf-e445-4dc3-9bb9-131758194e47,Sybille,Nelsen,false
3eb7b2a4-6659-4e48-a5b0-30982be2a659,Romona,Katrine,false
f61e3dfc-75cd-4b87-b7e4-4cc495fd9c65,Jasmina,Rodmann,false
907486ca-8180-4ca3-9f96-aa64b6c06560,Caritta,Orpah,false
fc8fa00c-5f1f-4803-836d-d7e4891ea78a,Janey,Henrie,false
79c4fca8-77e1-4560-9150-1b296cfa1e40,Penelopa,Martsen,false
53fa0ac7-e655-4183-b30d-5361fe063f66,Estell,Salvidor,false
8eb06c19-565d-4810-ab8e-a335f5c92406,Jaclyn,Barrus,false
319952e2-3713-419a-961d-da7ccf59690f,Coral,Weitman,false
1b89f7e4-c009-4ce6-b1e7-65600ebd1815,Josephine,Aprile,false
ebaf9c41-2d00-4337-a2c5-42219f87ee20,Bill,Lenny,false
a71f1828-af29-4069-93c9-2ebefac5b6c9,Bettine,Adalbert,false
47a23a39-c701-4b59-8dcf-1cefade7eaa7,Marleah,Valerio,false
861039dd-613b-41a4-aaca-61c10cb84df5,Alisha,Malvino,false
e0fc4b48-9053-443e-9e2e-03537be10957,Fernande,Brotherson,false
d12309cf-56f3-40ad-93b3-a31e81853678,Fina,Sibyls,false
9afb1175-7753-4812-a8b5-65ec6e8b0d7b,Catharine,Vorster,false
324bc3a0-f597-43a1-ba01-f30aaec39048,Corry,Hathaway,false
489d405d-1700-4f5c-84d4-a11a4da841b3,Sidoney,Darrell,false
df0456ea-5380-450d-b28b-8d87fa81c2c1,Rhea,Arley,false
a4976073-9791-4278-ab98-19d92ff472a9,Sherrie,Sadowski,false
fdc52fd6-6a39-4799-84c9-3538f139f1a4,Leontine,Kiyoshi,false
66fa4674-675d-4dc6-a29f-03d7aa8fcf13,Kylynn,Gerge,false
92b1ea26-955c-4f0e-8b96-f59a133297c6,Pollyanna,Argus,false
33ed0e0b-71c1-429d-a668-1c9a547b45e5,Elora,Docilla,false
989f5918-1b8f-4e6e-a4be-d7d3b488dd53,Doralynne,Adalbert,false
ac48b26c-d44e-4916-a286-5a2aa1a0840b,Lynea,Susannah,false
17beac73-e9bc-4444-910c-465aa1282ffb,Tarra,Romelda,false
601361dd-2241-4d66-967f-716ffbee0260,Christal,Sothena,false
d4e53958-bf48-4723-9544-4760b4798914,Eolanda,Kenwood,false
a40493fc-e0eb-4743-87c2-49647a3344a9,Sean,Hashim,false
76238099-3640-45f3-9fe0-1609d7116d9a,Annecorinne,Aloise,false
964b57a5-b092-4643-8ae2-59bc35f616e7,Elyssa,Lumbard,false
1576f39c-970d-407f-a75d-88d0ba3a0ff4,Rochette,Berl,false
e7787261-cf33-4c0b-a311-409417fa3de7,Leona,Cloris,false
0fe75eb3-ce4f-4712-a109-636ad2d9d759,Lita,Sinegold,false
3b94e7f8-dd65-4e9b-aa18-40dcabb4d91e,Sibella,Bohlin,false
6c0265a5-be00-4790-a4e7-7a17ac4bf465,Sashenka,Eben,false
02142680-b33b-49f8-99d0-23586da1da3d,Renie,Jefferey,false
96a7b60a-c16a-4306-90cd-f4c17cae8fcc,Corry,Pelagias,false
755647f7-613f-4579-aa38-ffe99da5af79,Alyda,Ariella,false
46ce92b6-c262-434f-8fa7-09393950973b,Livvyy,Claudine,false
05394e01-0b42-4064-883c-e3b539efee6a,Mildrid,Adore,false
8f52532c-07cf-47c3-bc7f-d453d730b19c,Nataline,Gaynor,false
dede64ce-f157-4856-a361-bdb968a199c2,Edee,Krystle,false
6926195a-9e77-41d1-be86-871203ae37ec,Tybie,Ralfston,false
67bb9591-c001-41c6-9054-85d3a3dc4182,Asia,Aldric,false
fe523cbf-20cf-46fc-8e8f-6e96399bf33b,Sheelagh,Jethro,false
f167968f-e21e-42ba-8268-0e5eb08b65a7,Kenna,Cristi,false
a9b34db5-4e4c-4014-8652-137d7f9535aa,Kate,Gualtiero,false
fd57469d-0daf-4a5b-b10a-65da17359706,Cherrita,Morrill,false
37fb0566-25a4-428a-9371-26d506ab7ff9,Lita,Winthorpe,false
d1bf6b89-2426-4133-bc72-ebc94c87ffb3,Allis,Modie,false
3b148e81-b93e-491f-9791-3b9c2a4bf600,Vanessa,Chinua,false
b4cedc03-67bd-4859-b441-fd2a20ebea47,Dennie,Libna,false
88c643fd-37c2-45cb-931e-22bf2f2ce588,Kamilah,Bohlin,false
b4842cc3-b694-4073-9801-85c880aa51d9,Drucie,Yuille,false
581f18f1-91b4-4a99-b867-7de2926f14ba,Olwen,Rosemary,false
975a36a9-b814-43f1-bbba-ddf80552255b,Beth,Tayib,false
32ea3964-58c1-4f03-9568-1586019af5c2,Halette,Teryn,false
4bf856ad-3207-4512-b42a-6bdd172d2a42,Nicoli,Ambrosia,false
cca144a8-8bee-41c8-a049-5157210d8053,Lenna,Cyrie,false
cb3c740a-fa66-42e3-96f0-394cde8b2cfc,Karena,Albertine,false
986ec652-53e0-4fbd-b91a-2c513e796d39,Nita,Rolf,false
bba0b86b-2086-49bf-96a5-fff73a38eefa,Lenna,Bashemeth,false
6dfd5b5c-1d55-41f5-afea-717557273d30,Elie,Thilda,false
a313a108-2b52-43cc-b9ab-dd6fdddae1c1,Blake,Justinn,false
b6f28ed2-6f0d-48c6-8614-121283fee50f,Nannie,Stoller,false
12ba2bd1-9ab5-4f23-872c-881b1a37d3aa,Dorice,Ulphia,false
97637c32-aa11-45a7-ae62-981bcc59b718,Deane,Lamoree,false
